"Part";"Value";"Device";"Package";"Description";"";
"++";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"++2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"--";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"C1";"1uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C2";"1uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C3";"25pf";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C4";"200n / 1uf";"THRU_HOLE_5MM_SPACING";"CERAMIC-5MM";"302010202";"";
"C5";"200n";"THRU_HOLE_5MM_SPACING";"CERAMIC-5MM";"302010202";"";
"C6";"1uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C7";"100uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C8";"47n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C9";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C10";"2.2uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C11";"22uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C12";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";
"C13";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";
"C14";"22pF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";
"C16";"cpl";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C17";"cpl";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C18";"cpl";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C19";"cpl";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C20";"22pF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";
"C21";"22pF";"22PF-PTH-2.54MM-200V-5%";"CAP-PTH-2.54";"22pF ceramic capacitors";"";
"C22";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";
"C23";"10UF";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C32";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C33";"4.7uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C34";"4.7uf";"THRU-HOLE-POLARIZED";"PC-D5.3MM";"302030033";"";
"C35";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"D1";"1N4004";"1N400X.1";"DO41-1";"Rectifier Diodes";"";
"D2";"1n5817";"SCHOTTKY-DIODESMD";"SMB";"Schottky Diode";"";
"D3";"1n4001_smd";"1N400X.1";"DO41-1";"Rectifier Diodes";"";
"D4";"1n4001_smd";"1N400X.1";"DO41-1";"Rectifier Diodes";"";
"D5";"";"LED3MM";"LED_3MM";"LED (Generic)";"";
"D6";"";"LED3MM";"LED_3MM";"LED (Generic)";"";
"D7";"";"LED3MM";"LED_3MM";"LED (Generic)";"";
"D8";"";"LED3MM";"LED_3MM";"LED (Generic)";"";
"DEPTH";"";"POT";"ALPS_POT";"";"";
"DIST_TRIM";"50K";"TRIM_US-3223G";"3223G";"POTENTIOMETER";"";
"H1";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"H2";"MOUNT-HOLE2.8";"MOUNT-HOLE2.8";"2,8";"MOUNTING HOLE with drill center marker";"";
"IC1";"MCP4921-SOIC";"MCP4921-SOIC";"SOIC-8";"Digital-to-Analog Converter";"";
"IC2";"OPAMP-DUALU";"OPAMP-DUALU";"SO08";"Generic op-amp footprint";"";
"IN_JACK";"MMMONNNNOHOLES";"MMMONNNNOHOLES";"MONONOHOLES";"";"";
"J1";"";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J2";"";"CONN_02PTH3";"1X02_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J3";"";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J4";"";"CONN_02PTH3";"1X02_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J5";"";"CONN_02PTH3";"1X02_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J10";"";"CONN_02PTH3";"1X02_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"K2";"FTR-B4G";"FTR-B4G";"FTR-B4G";"ULTRA MINIATURE RELAY 2 POLES - 2 A (Slim Profile Signal Relay)";"";
"LONGLEGS";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"OK2";"PC817DIL04";"PC817DIL04";"SMD4";"SHARP OPTO COUPLER";"";
"ONOFF1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"ONOFF2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"ONOFF3";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"ONOFF4";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"OUT_JACK";"MMMONNNNOHOLES";"MMMONNNNOHOLES";"MONONOHOLES";"";"";
"PAD1";"";"SMD5";"SMD2,54-5,08";"SMD PAD";"";
"PAD2";"";"SMD5";"SMD2,54-5,08";"SMD PAD";"";
"POGO_PALACE";"ATMEGA JMPER";"CONN_06LONGPADS";"1X06_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"Q1";"BC547";"BC547";"TO92";"NPN Transistor";"";
"R1";"47k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R2";"47k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R3";"680k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R4";"1m";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R5";"22k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R6";"22k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R7";"100k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R8";"6V/0.75A";"PPTC_THREE-QUARTER-AMP";"1206";"Resettable Fuse PPTC";"";
"R9";"100k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R10";"2k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R11";"6k49";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R12";"220r";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R13";"100k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R14";"200r";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R16";"6k34";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R18";"10k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R22";"4.7k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R23";"220r";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R24";"220r";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R25";"220r";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R26";"220r";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R38";"1k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R41";"10k??";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R45";"1k?";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"R46";"1k";"R-EU_M1206";"M1206";"RESISTOR, European symbol";"";
"RATE";"";"POT";"ALPS_POT";"";"";
"S1";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"MOMENTARY-SWITCH-SPST-PTH-6.0MM";"TACTILE_SWITCH_PTH_6.0MM";"Momentary Switch (Pushbutton) - SPST";"";
"SHIFT";"";"POT";"ALPS_POT";"";"";
"U$1";"BYSWITCH";"BYSWITCH";"BUFF/TRBYPASS";"";"";
"U1";"THAT2181L";"THAT2181L";"SIP8";"VCA Trimmable IC";"";
"U2";"AD823ARZ";"AD823ARZ";"SOIC127P600X175-8N";"Dual, 16 MHz, Rail-to-Rail FET Input Amplifier";"";
"U3";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"";
"U6";"18vin / +5vout (DPAK) MC7805";"V_REG_78XX7812";"TO-252";"Voltage Regulator";"";
"VOL";"50k";"POT";"ALPS_POT";"";"";
"VOLTAGE_ADJUST";"47k";"TRIM_US-3223G";"3223G";"POTENTIOMETER";"";
"Y1";"16Mhz";"CRYSTALHC49US";"HC49US";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";
"~NUDEV~1";"GND-GNDA1,27MM";"GND-GNDA1,27MM";"GND-GNDA-1,27MM";"Connect GND - GNDA without DRC-Error, display layer 53 (54) to make copper (ROUTE) from GND to GNDA";"";
